cve_estado,municipio
chp,"Tuxtla Gutiérrez"
chp,"San Fernando"
chp,Berriozábal
chp,"Ocozocoautla de Espinosa"
chp,Suchiapa
chp,"Chiapa de Corzo"
chp,Osumacinta
chp,"San Cristóbal de las Casas"
chp,Chamula
chp,Ixtapa
chp,Zinacantán
chp,Acala
chp,"Emiliano Zapata"
chp,Chiapilla
chp,"San Lucas"
chp,Teopisca
chp,"Amatenango del Valle"
chp,Chanal
chp,Oxchuc
chp,Huixtán
chp,Tenejapa
chp,Mitontic
chp,Reforma
chp,Juárez
chp,Pichucalco
chp,Sunuapa
chp,Ostuacán
chp,"Francisco León"
chp,Ixtacomitán
chp,Solosuchiapa
chp,Ixtapangajoya
chp,Mezcalapa
chp,Tecpatán
chp,Copainalá
chp,Chicoasén
chp,Coapilla
chp,Pantepec
chp,Tapalapa
chp,Ocotepec
chp,Chapultenango
chp,Amatán
chp,Huitiupán
chp,Ixhuatán
chp,Tapilula
chp,Rayón
chp,"Pueblo Nuevo Solistahuacán"
chp,"Rincón Chamula San Pedro"
chp,Jitotol
chp,Bochil
chp,Soyaló
chp,"San Juan Cancuc"
chp,Sabanilla
chp,Simojovel
chp,"San Andrés Duraznal"
chp,"El Bosque"
chp,Chalchihuitán
chp,Larráinzar
chp,"Santiago el Pinar"
chp,Chenalhó
chp,Aldama
chp,Pantelhó
chp,Sitalá
chp,"Salto de Agua"
chp,Tila
chp,Tumbalá
chp,Yajalón
chp,Ocosingo
chp,Chilón
chp,"Benemérito de las Américas"
chp,"Marqués de Comillas"
chp,Palenque
chp,"La Libertad"
chp,Catazajá
chp,"Comitán de Domínguez"
chp,Tzimol
chp,Chicomuselo
chp,"Bella Vista"
chp,"Frontera Comalapa"
chp,"La Trinitaria"
chp,"La Independencia"
chp,"Maravilla Tenejapa"
chp,"Las Margaritas"
chp,Altamirano
chp,"Venustiano Carranza"
chp,Totolapa
chp,"Nicolás Ruíz"
chp,"Las Rosas"
chp,"La Concordia"
chp,"Ángel Albino Corzo"
chp,"Montecristo de Guerrero"
chp,Socoltenango
chp,"Cintalapa de Figueroa"
chp,Jiquipilas
chp,Arriaga
chp,Villaflores
chp,Tonalá
chp,"Villa Corzo"
chp,"El Parral"
chp,Pijijiapan
chp,Mapastepec
chp,Acapetahua
chp,Acacoyagua
chp,Escuintla
chp,"Villa Comaltitlán"
chp,Huixtla
chp,Mazatán
chp,Huehuetán
chp,Tuzantán
chp,Tapachula
chp,Suchiate
chp,"Frontera Hidalgo"
chp,Metapa
chp,"Tuxtla Chico"
chp,"Unión Juárez"
chp,Cacahoatán
chp,Motozintla
chp,"Mazapa de Madero"
chp,"Amatenango de la Frontera"
chp,"Bejucal de Ocampo"
chp,"La Grandeza"
chp,"El Porvenir"
chp,Siltepec
chp,"Honduras de la Sierra"
chp,"Capitán Luis Ángel Vidal"
